1017 Statistic "clientsCount":  279
┌─────────┬─────────┬───────────┬──────────┬──────────┐
│ (index) │   rss   │ heapTotal │ heapUsed │ external │
│   141   │ 62.132  │  24.711   │  11.437  │  1.364   │
│   142   │ 60.359  │  21.565   │  12.337  │  1.368   │
│   143   │ 63.668  │  24.711   │  14.63   │  1.368   │
│   144   │ 64.901  │  28.905   │  17.263  │  1.372   │
│   145   │ 63.402  │  27.595   │  18.051  │   1.36   │
│   146   │  66.72  │  35.983   │  19.617  │  1.364   │
│   147   │ 70.906  │  36.246   │  20.938  │  1.368   │
│   148   │ 78.135  │  58.003   │  18.022  │   1.36   │
│   149   │  78.25  │  58.003   │  24.307  │  1.364   │
│   150   │  83.46  │  58.266   │  31.868  │  1.368   │
│   151   │ 90.685  │  58.266   │  29.245  │  1.372   │
│   152   │ 99.631  │  61.149   │  30.482  │  1.376   │
│   153   │ 99.717  │  65.081   │  28.286  │  1.364   │
│   154   │ 65.942  │  29.168   │  24.361  │   1.36   │
│   155   │ 71.389  │  35.197   │  28.731  │  1.364   │
│   156   │ 77.472  │  48.042   │  24.226  │   1.36   │
│   157   │  80.31  │  48.042   │  31.163  │  1.364   │
│   158   │ 86.852  │  48.042   │  32.963  │  1.364   │
│   159   │ 87.065  │  48.042   │  36.155  │  1.368   │
│   160   │ 88.101  │  67.178   │  27.882  │  1.364   │
│   161   │  89.67  │  67.178   │  33.272  │  1.368   │
│   162   │ 94.429  │  67.178   │  38.358  │  1.368   │
│   163   │ 99.811  │  67.445   │  34.07   │  1.372   │
│   164   │ 104.03  │  67.445   │  38.741  │  1.372   │
│   165   │ 105.66  │  69.538   │  19.654  │   1.36   │
│   166   │ 105.693 │  69.538   │  23.444  │   1.36   │
│   167   │ 59.945  │   22.09   │  18.253  │  1.364   │
│   168   │ 60.355  │  21.828   │  18.864  │  1.364   │
│   169   │ 61.264  │  22.352   │  19.997  │  1.364   │
│   170   │ 61.444  │  22.614   │  20.942  │  1.368   │
│   171   │ 62.112  │   23.4    │  21.663  │  1.368   │
│   172   │ 63.005  │  24.187   │  22.51   │  1.368   │
│   173   │ 63.611  │  24.449   │  23.116  │  1.368   │
│   174   │ 63.746  │  24.711   │  23.28   │  1.368   │
│   175   │ 63.705  │  25.498   │  23.22   │  1.368   │
│   176   │ 64.254  │  25.498   │  23.813  │  1.368   │
│   177   │ 65.208  │  26.284   │  24.721  │  1.372   │
│   178   │ 65.552  │   27.07   │  25.103  │  1.372   │
│   179   │ 66.507  │  27.595   │  26.067  │  1.372   │
│   180   │ 65.729  │   27.07   │  9.968   │   1.36   │
│   181   │ 65.905  │   27.07   │  11.124  │  1.364   │
│   182   │ 65.749  │   27.07   │  12.27   │  1.364   │
│   183   │ 67.609  │  30.216   │  14.186  │  1.368   │
│   184   │ 67.895  │  31.265   │  15.856  │  1.368   │
│   185   │ 65.745  │  27.333   │  16.944  │  1.372   │
│   186   │ 64.967  │  26.284   │  15.964  │  1.364   │
│   187   │ 66.277  │  31.527   │  18.85   │  1.364   │
│   188   │ 70.652  │  31.527   │  21.411  │  1.368   │
│   189   │ 71.078  │  43.323   │  18.34   │  1.364   │
│   190   │ 73.449  │  43.323   │  24.531  │  1.368   │
│   191   │ 79.921  │  43.323   │  25.14   │  1.368   │
│   192   │ 83.616  │  44.372   │  28.407  │  1.372   │
│   193   │ 85.983  │  61.936   │  23.388  │   1.36   │
│   194   │ 85.987  │  61.936   │  30.791  │  1.364   │
│   195   │  68.17  │  29.168   │  25.037  │  1.364   │
│   196   │ 74.977  │  36.508   │  28.105  │  1.368   │
│   197   │ 77.062  │  46.469   │  28.854  │  1.364   │
│   198   │ 83.808  │  46.469   │  31.235  │  1.364   │
│   199   │ 85.946  │  46.469   │  34.76   │  1.368   │
│   200   │ 87.556  │  67.178   │  27.374  │   1.36   │
│   201   │ 88.855  │  67.178   │  34.06   │  1.364   │
│   202   │ 94.429  │  67.178   │  40.176  │  1.368   │
│   203   │ 100.45  │  67.178   │  35.967  │  1.368   │
│   204   │ 105.255 │  67.178   │  41.105  │  1.372   │
│   205   │ 106.557 │  70.586   │  20.713  │  1.364   │
│   206   │ 106.619 │  70.586   │  25.191  │  1.364   │
│   207   │ 61.112  │  23.925   │  19.319  │  1.364   │
│   208   │ 64.381  │  29.954   │  20.513  │  1.364   │
│   209   │ 62.992  │  24.711   │  22.056  │  1.364   │
│   210   │ 67.908  │  33.624   │  24.79   │  1.368   │
│   211   │ 65.343  │  27.595   │  24.793  │  1.368   │
│   212   │ 65.688  │   27.07   │  25.227  │  1.368   │
│   213   │ 66.662  │  27.857   │  25.925  │  1.372   │
│   214   │ 67.383  │  28.119   │  26.924  │  1.372   │
│   215   │ 67.449  │  28.905   │  27.007  │  1.372   │
│   216   │ 67.637  │  29.692   │  27.17   │  1.372   │
│   217   │ 68.452  │  29.692   │  27.985  │  1.372   │
│   218   │ 68.076  │  29.434   │  9.397   │   1.36   │
│   219   │ 68.264  │  29.434   │  10.114  │   1.36   │
│   220   │  68.44  │  29.434   │  10.741  │   1.36   │
│   221   │ 67.928  │  29.434   │  10.691  │   1.36   │
│   222   │ 68.526  │  29.434   │  11.615  │  1.364   │
│   223   │ 68.338  │  29.434   │  11.627  │  1.364   │
│   224   │ 68.334  │  29.434   │  11.879  │  1.364   │
│   225   │ 68.366  │  29.434   │  12.23   │  1.364   │
│   226   │ 68.387  │  29.434   │  12.535  │  1.364   │
│   227   │ 68.379  │  29.434   │  12.801  │  1.364   │
│   228   │  68.37  │  29.434   │  13.078  │  1.364   │
│   229   │ 68.325  │  29.434   │  13.297  │  1.364   │
│   230   │ 68.301  │  29.434   │  13.528  │  1.364   │
│   231   │ 68.026  │  29.434   │  13.529  │  1.364   │
│   232   │ 67.949  │  29.434   │  13.649  │  1.364   │
│   233   │ 68.653  │  29.434   │  14.479  │  1.364   │
│   234   │ 68.534  │  29.434   │  14.698  │  1.364   │
│   235   │ 68.375  │  29.434   │  14.74   │  1.364   │
│   236   │ 68.379  │  29.434   │  15.063  │  1.368   │
│   237   │ 68.334  │  29.434   │  15.293  │  1.368   │
│   238   │ 68.268  │  29.434   │  15.462  │  1.368   │
│   239   │ 68.026  │  29.434   │  15.446  │  1.368   │
│   240   │ 67.953  │  29.434   │  15.572  │  1.368   │
│   241   │ 67.838  │  29.434   │  15.672  │  1.368   │
│   242   │ 68.534  │  29.434   │  16.584  │  1.368   │
│   243   │ 68.415  │  29.434   │  16.646  │  1.368   │
│   244   │ 68.354  │  29.434   │  16.893  │  1.368   │
│   245   │ 68.342  │  29.434   │  17.152  │  1.368   │
│   246   │ 68.342  │  29.434   │  17.342  │  1.368   │
│   247   │ 68.346  │  29.434   │  17.651  │  1.368   │
│   248   │ 68.342  │  29.434   │  17.854  │  1.368   │
│   249   │ 61.981  │  23.138   │  7.238   │   1.36   │
│   250   │  61.87  │  23.138   │  7.378   │   1.36   │
│   251   │ 61.841  │  23.138   │  7.539   │   1.36   │
│   252   │ 61.788  │  23.138   │   7.74   │  1.364   │
│   253   │ 61.768  │  23.138   │  7.897   │  1.364   │
│   254   │ 62.513  │  23.138   │  8.877   │  1.364   │
│   255   │ 62.415  │  23.138   │  8.968   │  1.364   │
│   256   │ 62.362  │  23.138   │  9.201   │  1.364   │
│   257   │ 62.312  │  23.138   │  9.365   │  1.364   │
│   258   │ 62.312  │  23.138   │   9.64   │  1.364   │
│   259   │ 62.366  │  23.138   │  9.931   │  1.364   │
│   260   │ 62.349  │  23.138   │  10.228  │  1.364   │
│   261   │ 62.358  │  23.138   │  10.488  │  1.364   │
│   262   │ 62.358  │  23.138   │  10.704  │  1.364   │
│   263   │ 62.382  │  23.138   │  10.992  │  1.364   │
